#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
щаст€,4,3,2,1
смуток,4,3,2,1
смерть,4,3,1,2
трагед≥€,4,3,1,2
самотн≥сть,4,3,1,2
коханн€,4,3,2,1
пригоди,4,3,2,1
солодкий,4,3,2,1
захопленн€,4,3,2,1
салют,4,3,2,1
романтика,4,3,2,1
сльози,4,3,1,2
депрес≥€,4,3,1,2
серце,4,3,2,1
шлюб,4,3,2,1
пристрасть,4,3,2,1
дитинство,4,3,2,1
весело,4,3,2,1
кол≥р,4,3,2,1
над≥€,4,3,1,2
друз≥,4,3,2,1
родина,4,3,2,1
веч≥рка,4,3,2,1
в≥дпустка,4,3,2,1
л≥нивий,4,3,2,1
мр≥€,4,3,1,2
б≥ль,4,3,1,2
св€то,4,3,2,1
л≥жко,4,3,2,1
п≥р'њна,4,3,2,1
сором,4,3,1,2
страх,4,3,1,2
тепло,4,3,2,1
кв≥тка,4,3,2,1
затишок,4,3,2,1
танець,4,3,2,1
сп≥вати,4,3,2,1
плакати,4,3,1,2
см≥х,4,3,2,1
темр€ва,4,3,1,2
сон€чно,4,3,2,1
дощова_хмара,4,3,2,1
спок≥й,4,3,1,2
дурний,4,3,2,1
л≥тати,4,3,2,1
чудовий,4,3,2,1
нерозд≥лене,4,3,1,2
тро€нда,4,3,1,2
разом,4,3,2,1
об≥ц€нка,4,3,2,1
чар≥вн≥сть,4,3,2,1
краса,4,3,2,1
рад≥сть,4,3,2,1
усм≥шка,4,3,2,1
розбите,4,3,1,2
дорогоц≥нний,4,3,2,1
молитва,4,3,1,2
незграбний,4,3,2,1
пробачити,4,3,1,2
природа,4,3,2,1
океан,4,3,2,1
с€€ти,4,3,2,1
особливий,4,3,2,1
музика,4,3,2,1
щасливий,4,3,2,1
невдача,4,3,1,2
гучний,4,3,2,1
мирний,4,3,1,2
вт≥ха,4,3,1,2
зах≥д_сонц€,4,3,2,1
св≥тл€чки,4,3,2,1
веселка,4,3,2,1
бол€че,4,3,1,2
грати,4,3,2,1
≥скра,4,3,2,1
шрами,4,3,1,2
порожнеча,4,3,1,2
дивовижний,4,3,2,1
горе,4,3,1,2
об≥йми,4,3,1,2
надзвичайний,4,3,2,1
класний,4,3,2,1
поразка,4,3,1,2
безнад≥йний,4,3,1,2
стражданн€,4,3,1,2
скарб,4,3,2,1
блаженство,4,3,2,1
спогади,4,3,2,1

#Natsuki's words
милий,2,4,3,1
пухнастий,2,4,3,1
чистий,1,4,3,2
цукерка,2,4,3,1
шоп≥нг,2,4,3,1
цуцен€,2,4,3,1
киц€,2,4,3,1
хмари,2,4,3,1
помада,1,4,3,2
парфе,2,4,3,1
полуниц€,2,4,3,1
рожевий,2,4,3,1
шоколад,2,4,3,1
серцебитт€,1,4,3,2
поц≥лунок,1,4,3,2
мелод≥€,2,4,3,1
стр≥чка,2,4,3,1
стрибучий,2,4,3,1
док≥-док≥,2,4,3,1
кавайний,2,4,3,1
сп≥дниц€,2,4,3,1
щ≥чки,2,4,3,1
емейл,2,4,3,1
липкий,2,4,3,1
пружний,2,4,3,1
блискучий,2,4,3,1
гризти,2,4,3,1
фантаз≥€,1,4,3,2
цукор,2,4,3,1
хихот≥ти,2,4,3,1
зеф≥р,2,4,3,1
стрибати,2,4,3,1
скакати,2,4,3,1
мир,2,4,3,1
крутитис€,2,4,3,1
кружл€ти,2,4,3,1
льод€ник,2,4,3,1
пуф,2,4,3,1
бульбашки,2,4,3,1
шеп≥т,2,4,3,1
л≥то,2,4,3,1
водоспад,1,4,3,2
купальник,2,4,3,1
ван≥ль,2,4,3,1
навушники,2,4,3,1
≥гри,2,4,3,1
шкарпетки,2,4,3,1
волосс€,2,4,3,1
дит€чий_майданчик,2,4,3,1
н≥чна_сорочка,1,4,3,2
ковдра,1,4,3,2
молоко,2,4,3,1
надутий,2,4,3,1
зл≥сть,2,4,3,1
тато,2,4,3,1
валентинка,2,4,3,1
миша,1,4,3,2
свист,2,4,3,1
буп,2,4,3,1
кролик,2,4,3,1
ан≥ме,2,4,3,1
стрибок,2,4,3,1

#Yuri's words
р≥шуч≥сть,1,1,4,3
самогубство,2,1,4,3
у€ва,2,1,4,3
потаЇмний,2,1,4,3
життЇва_сила,1,1,4,3
≥снуванн€,2,1,4,3
с€ючий,1,1,4,3
багр€ний,1,1,4,3
вихор,1,1,4,3
п≥сл€образ,1,1,4,3
запамороченн€,1,1,4,3
дезор≥Їнтований,1,1,4,3
сутн≥сть,2,1,4,3
атмосферний,2,1,4,3
зор€ний_пейзаж,2,1,4,3
безлад,1,1,4,3
забрудненн€,1,1,4,3
≥нтелектуальний,1,1,4,3
анал≥з,1,1,4,3
ентроп≥€,1,1,4,3
жвавий,1,1,4,3
моторошний,2,1,4,3
нев≥дпов≥дний,1,1,4,3
гн≥в,2,1,4,3
небесний,2,1,4,3
р≥занина,2,1,4,3
ф≥лософ≥€,1,1,4,3
м≥нливий,1,1,4,3
наполегливий,1,1,4,3
аура,2,1,4,3
нестаб≥льний,1,1,4,3
пекло,2,1,4,3
нездатний,2,1,4,3
дол€,2,1,4,3
безпомилковий,1,1,4,3
бол≥сний,2,1,4,3
вар≥ац≥€,1,1,4,3
неконтрольований,2,1,4,3
екстремальний,1,1,4,3
втекти,2,1,4,3
сон,2,2,4,3
катастрофа,2,1,4,3
€скравий,2,1,4,3
живий,1,2,4,3
питанн€,1,2,4,3
гнити,2,1,4,3
суд,1,1,4,3
кл≥тка,1,2,4,3
вибухати,1,2,4,3
задоволенн€,1,2,4,3
пох≥ть,1,2,4,3
